experiment,participant_id,trial_id,trial_order,phase_id,prime,target,response,response_correct,accuracy,rt,age,gender,hand
semantic_priming,7,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.666975,21,F,right
semantic_priming,68,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.6174,23,F,right
semantic_priming,23,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.62568,22,M,right
semantic_priming,47,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.66487,22,F,right
semantic_priming,29,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.73355,24,F,right
semantic_priming,44,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.597475,24,M,right
semantic_priming,54,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.86376,26,F,right
semantic_priming,55,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.68621,20,F,right
semantic_priming,66,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.600825,23,F,left
semantic_priming,8,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.67755,21,F,left
semantic_priming,4,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.73394,30,M,right
semantic_priming,41,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.567915,23,M,right
semantic_priming,22,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.812355,23,F,right
semantic_priming,59,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.93419,22,F,right
semantic_priming,20,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.54419,22,F,right
semantic_priming,18,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.74535,23,F,right
semantic_priming,60,exp1_t2,2,judgment,ulivo,acore,1.0,0,0.0,0.41714,20,F,right
semantic_priming,16,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.9249,27,F,right
semantic_priming,59,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.650515,22,F,right
semantic_priming,17,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.496275,23,F,right
semantic_priming,26,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.70213,21,F,right
semantic_priming,25,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.46499,21,F,right
semantic_priming,14,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.602,21,M,right
semantic_priming,71,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.655045,21,M,right
semantic_priming,13,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.47702,20,M,right
semantic_priming,49,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.54739,21,F,right
semantic_priming,21,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.55743,24,F,right
semantic_priming,41,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.61188,23,M,right
semantic_priming,18,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.503905,23,F,right
semantic_priming,16,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.60149,27,F,right
semantic_priming,61,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.640715,25,M,right
semantic_priming,67,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.629725,24,M,right
semantic_priming,15,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.55314,23,F,right
semantic_priming,50,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.53,22,F,right
semantic_priming,64,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.59946,24,M,right
semantic_priming,27,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.508015,22,F,right
semantic_priming,8,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.80381,21,F,left
semantic_priming,10,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.54705,23,F,right
semantic_priming,44,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.5592,24,M,right
semantic_priming,33,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,1.266,22,M,right
semantic_priming,31,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.63562,27,F,right
semantic_priming,47,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.529315,22,F,right
semantic_priming,2,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.767,27,F,right
semantic_priming,34,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.57659,22,F,right
semantic_priming,4,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.60017,30,M,right
semantic_priming,39,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.10076,28,F,right
semantic_priming,43,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.41295,22,M,right
semantic_priming,51,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.584355,25,M,right
semantic_priming,45,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.38928,21,F,right
semantic_priming,52,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.665,22,F,right
semantic_priming,57,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.633405,29,F,right
semantic_priming,6,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.551725,30,F,right
semantic_priming,32,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.446785,24,F,right
semantic_priming,30,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.05222,27,F,right
semantic_priming,53,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.56286,25,F,right
semantic_priming,72,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.78,20,F,right
semantic_priming,3,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.49096,21,F,right
semantic_priming,24,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.08805,22,F,right
semantic_priming,65,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.54828,35,F,right
semantic_priming,7,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.68606,21,F,right
semantic_priming,36,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.552505,21,M,right
semantic_priming,46,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.55107,22,F,right
semantic_priming,38,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.661015,20,F,right
semantic_priming,54,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.59458,26,F,right
semantic_priming,28,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.632,24,F,right
semantic_priming,55,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,1.6808,20,F,right
semantic_priming,62,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,0.47118,24,M,left
