correct	correct_response	count_exp_sequence	leksikalnost	rec	response	response_time	trial_number	naziv_fajla	exp_title
1	3	45	pseudorec	TULAVOM	3	368	152	subject-81.csv	PRIDEVI_A
1	1	46	rec	SEVERNOG	1	388	76	subject-81.csv	PRIDEVI_A
1	3	47	pseudorec	LASIVOM	3	355	157	subject-81.csv	PRIDEVI_A
1	1	48	rec	NEVINOM	1	368	50	subject-81.csv	PRIDEVI_A
0	3	49	pseudorec	HUPENOJ	1	402	179	subject-81.csv	PRIDEVI_A
1	3	50	pseudorec	GANKOJ	3	545	204	subject-81.csv	PRIDEVI_A
1	1	51	rec	ODLIČNOM	1	420	56	subject-81.csv	PRIDEVI_A
1	3	52	pseudorec	RISOKOM	3	559	149	subject-81.csv	PRIDEVI_A
1	1	53	rec	SPORTSKOM	1	366	83	subject-81.csv	PRIDEVI_A
1	3	54	pseudorec	CUSNOJ	3	373	178	subject-81.csv	PRIDEVI_A
1	3	55	pseudorec	GUJAFOJ	3	521	211	subject-81.csv	PRIDEVI_A
0	1	56	rec	DAVNOJ	3	447	12	subject-81.csv	PRIDEVI_A
1	1	57	rec	RODNOM	1	385	74	subject-81.csv	PRIDEVI_A
0	1	58	rec	VLAŽNOJ	3	455	99	subject-81.csv	PRIDEVI_A
0	1	59	rec	KULTURNOJ	3	659	30	subject-81.csv	PRIDEVI_A
1	3	60	pseudorec	VEDNOJ	3	594	185	subject-81.csv	PRIDEVI_A
1	1	61	rec	NEMIRNOM	1	442	47	subject-81.csv	PRIDEVI_A
1	1	62	rec	BESKRAJNOM	1	508	2	subject-81.csv	PRIDEVI_A
0	3	63	pseudorec	SAŽNOJ	1	300	180	subject-81.csv	PRIDEVI_A
1	1	64	rec	SUROVOM	1	417	89	subject-81.csv	PRIDEVI_A
0	3	65	pseudorec	KUDNOG	1	497	130	subject-81.csv	PRIDEVI_A
1	1	66	rec	VISOKOM	1	446	98	subject-81.csv	PRIDEVI_A
1	1	67	rec	ČUDESNOG	1	397	10	subject-81.csv	PRIDEVI_A
0	3	68	pseudorec	KILENOM	1	400	159	subject-81.csv	PRIDEVI_A
1	1	69	rec	NEBESKOJ	1	463	45	subject-81.csv	PRIDEVI_A
1	3	70	pseudorec	FUKAVOJ	3	528	187	subject-81.csv	PRIDEVI_A
1	1	71	rec	BUDNOM	1	384	5	subject-81.csv	PRIDEVI_A
1	1	72	rec	KONAČNOM	1	577	26	subject-81.csv	PRIDEVI_A
1	1	73	rec	ZIMSKOG	1	769	103	subject-81.csv	PRIDEVI_A
1	3	74	pseudorec	VOLENOJ	3	559	205	subject-81.csv	PRIDEVI_A
1	1	75	rec	MASOVNOJ	1	478	36	subject-81.csv	PRIDEVI_A
1	1	76	rec	NOĆNOJ	1	441	54	subject-81.csv	PRIDEVI_A
0	3	77	pseudorec	KLAKNOJ	1	464	188	subject-81.csv	PRIDEVI_A
1	3	78	pseudorec	DORANOG	3	1193	110	subject-81.csv	PRIDEVI_A
1	3	79	pseudorec	SIRANOG	3	1270	129	subject-81.csv	PRIDEVI_A
1	3	80	pseudorec	TOLANOG	3	525	111	subject-81.csv	PRIDEVI_A
1	1	81	rec	SLOBODNOJ	1	398	81	subject-81.csv	PRIDEVI_A
1	3	82	pseudorec	KESANOM	3	388	145	subject-81.csv	PRIDEVI_A
1	3	83	pseudorec	ROTANOG	3	546	122	subject-81.csv	PRIDEVI_A
1	1	84	rec	MORSKOG	1	454	40	subject-81.csv	PRIDEVI_A
0	1	85	rec	SELJAČKOJ	3	576	75	subject-81.csv	PRIDEVI_A
1	3	86	pseudorec	BLUGAVOJ	3	683	193	subject-81.csv	PRIDEVI_A
1	1	87	rec	STAKLENOJ	1	448	84	subject-81.csv	PRIDEVI_A
1	1	88	rec	NEPOZNATOJ	1	410	48	subject-81.csv	PRIDEVI_A
1	1	89	rec	LJUDSKOG	1	501	34	subject-81.csv	PRIDEVI_A
1	1	90	rec	GUSTOM	1	376	23	subject-81.csv	PRIDEVI_A
1	1	91	rec	ŠUMSKOG	1	408	88	subject-81.csv	PRIDEVI_A
0	3	92	pseudorec	RIZANOM	1	411	143	subject-81.csv	PRIDEVI_A
1	1	93	rec	MUTNOJ	1	510	42	subject-81.csv	PRIDEVI_A
1	1	94	rec	POSEBNOM	1	386	62	subject-81.csv	PRIDEVI_A
1	1	95	rec	VRELOG	1	399	100	subject-81.csv	PRIDEVI_A
1	1	96	rec	RATNOJ	1	545	72	subject-81.csv	PRIDEVI_A
1	1	97	rec	NEČUJNOG	1	388	46	subject-81.csv	PRIDEVI_A
1	1	98	rec	DNEVNOM	1	367	14	subject-81.csv	PRIDEVI_A
1	3	99	pseudorec	PANANOM	3	597	146	subject-81.csv	PRIDEVI_A
1	1	100	rec	KRATKOG	1	425	28	subject-81.csv	PRIDEVI_A
0	3	101	pseudorec	URTIVOJ	1	365	199	subject-81.csv	PRIDEVI_A
1	1	102	rec	PRIRODNOJ	1	470	66	subject-81.csv	PRIDEVI_A
1	3	103	pseudorec	LURIVOG	3	512	116	subject-81.csv	PRIDEVI_A
1	1	104	rec	PLEMENITOJ	1	454	60	subject-81.csv	PRIDEVI_A
1	1	105	rec	POLITIČKOG	1	519	61	subject-81.csv	PRIDEVI_A
0	3	106	pseudorec	NORNOM	1	401	162	subject-81.csv	PRIDEVI_A
1	1	107	rec	MOĆNOJ	1	573	39	subject-81.csv	PRIDEVI_A
1	1	108	rec	KONKRETNOJ	1	387	27	subject-81.csv	PRIDEVI_A
1	3	109	pseudorec	FORKOJ	3	393	183	subject-81.csv	PRIDEVI_A
1	1	110	rec	UPORNOJ	1	448	96	subject-81.csv	PRIDEVI_A
1	1	111	rec	EKONOMSKOM	1	617	17	subject-81.csv	PRIDEVI_A
1	1	112	rec	LIČNOJ	1	352	33	subject-81.csv	PRIDEVI_A
1	3	113	pseudorec	PUMNOG	3	546	132	subject-81.csv	PRIDEVI_A
0	3	114	pseudorec	RIROKOG	1	298	126	subject-81.csv	PRIDEVI_A
1	3	115	pseudorec	LAPANOJ	3	547	197	subject-81.csv	PRIDEVI_A
1	3	116	pseudorec	DEMITOM	3	590	168	subject-81.csv	PRIDEVI_A
1	3	117	pseudorec	PLOSTOM	3	464	164	subject-81.csv	PRIDEVI_A
1	3	118	pseudorec	GLOMNOM	3	573	154	subject-81.csv	PRIDEVI_A
1	3	119	pseudorec	SRLAVOJ	3	674	184	subject-81.csv	PRIDEVI_A
1	1	120	rec	BOLESNOG	1	712	4	subject-81.csv	PRIDEVI_A
1	1	121	rec	LAKOG	1	455	31	subject-81.csv	PRIDEVI_A
1	1	122	rec	ZNAČAJNOG	1	423	106	subject-81.csv	PRIDEVI_A
1	3	123	pseudorec	MRGAVOM	3	625	163	subject-81.csv	PRIDEVI_A
1	1	124	rec	TAČNOG	1	423	91	subject-81.csv	PRIDEVI_A
0	3	125	pseudorec	DUMAVOG	1	414	109	subject-81.csv	PRIDEVI_A
1	3	126	pseudorec	VELITOJ	3	538	189	subject-81.csv	PRIDEVI_A
1	1	127	rec	MRAČNOM	1	666	41	subject-81.csv	PRIDEVI_A
1	3	128	pseudorec	BUTOJ	3	725	209	subject-81.csv	PRIDEVI_A
1	3	129	pseudorec	NJERNOM	3	562	171	subject-81.csv	PRIDEVI_A
0	3	130	pseudorec	DILAVOG	1	465	135	subject-81.csv	PRIDEVI_A
