participant_id,trial_id,stimulus,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11,response12,response13,response14,response15,response16,response17,response18,response19,response20
29,12,FRAGMENT,piece,part,broken,ceramic,imagination,tear,break,shatter,collapse,cr,,,,,,,,,,
29,14,GROUNDHOG,ground,animal,soil,mud,mess,burrow,teeth,tongue,foot,squirrel,platypus,hedgehog,small,smell,pest,grass,tree,farmer,land,
29,22,MOSQUITO,bite,annoying,scars,malaria,sri lanka,heat,humid,pest,water,night,sting,mark,noise,dirty,red,bump,itchy,irritating,fly,
29,24,NAPKIN,nose,party,tissue,white,restaurant,eat,food,clean,tidy,cutlery,cold,spill,eat,write,pen,corner,edge,square,white,pattern
29,30,RHUBARB,rose,food,pie,color,red,pink,eat,plate,vegetable,fruit,pumpkin,seasonal,treat,picky,taste,smell,touch,feel,bump,clean
29,35,SPREAD,butter,food,nutella,wide,knife,toast,toaster,eat,food,,,,,,,,,,,
29,39,TOWER,eiffel,clock,paris,france,pretty,tall,stable,engineering,concrete,trees,skyscraper,crash,,,,,,,,
29,40,XYLOPHONE,instrument,sound,hearing,orchestra,music,difficult,notes,sheet,people,group,harmonic,pleasant,violin,guitar,cello,piano,trombone,flute,harp,triangle
30,6,DIAGRAM,drawing,chart,lines,explanation,science,math,circle,venn,medicine,body,illustration,pencil,statistics,show,explain,3d,pie chart,sketch,dna,system
30,7,DOORMAT,wipe,shy,dirt,slogan,mud,welcome,rectangle,entrance,enter,door,quiet,invisible,prickly,hay,brown,first,thick,writing,parcel,hide
30,15,GUST,wind,blow,bird,wings,breeze,weather,tornado,hurricane,flying,eye,cold,strong,flutter,uncomfortable,disruptive,debris,pokemon,scarf,float,chilly
30,18,KITCHEN,cook,prepare,boil,steam,oven,fry,roast,cut,blend,eat,mix,fridge,washing machine,pantry,microwave,hungry,thirsty,taps,washing,ice
30,19,LEASE,rent,home,flat,apartment,money,borrow,buy,sell,temporary,live,office,building,space,tenant,home,shop,expensive,control,contract,sign
30,25,OAK,tree,cedar,finish,polish,wood,table,chairs,professor,pokemon,big,expensive,shop,countertop,forest,park,conkers,knock,posh,smart,decorative
30,31,SLAUGHTER,kill,murder,meat,pig,cow,house,factory,cruel,slash,murderer,knife,slit,throat,blood,gush,red,unethical,violent,mask,butcher
30,33,SPOKESPERSON,speak,discourse,present,convey,talk,leader,event,microphone,stand,lectern,teleprompter,speech,representative,politics,language,performance,glasses,audience,anticipation,slideshow
30,34,SPRAIN,pain,bones,muscles,science,medicine,painkillers,ibuprofen,bandage,breath,hospital,crutch,hurt,accident,bend,snap,pull,,,,
30,38,TORTOISE,slow,hare,turtle,big,confused,green,shell,cute,galapagos,science,conservation,ecology,animal,weird,fables,tales,crawl,protect,winner,race
31,9,FARMYARD,animal,farmer,cow,horse,pig,ducks,chicken,turkey,hill,gate,shed,tractor,lane,bucket,straw,mouse,house,chimney,puddle,corn
31,10,FIG,olive,branch,fruit,dates,greece,warm,sunny,healthy,food,toga,gods,figment,figaro,figgidaboutit,,,,,,
31,12,FRAGMENT,piece,jigsaw,shatter,bit,shard,pieces,break,smash,divide,lost,broken,shatter,snippet,,,,,,,
31,14,GROUNDHOG,day,animal,warthog,tusks,forage,thirteenth,autumn,leaves,forage,truffles,repeat,loop,stuck,hairy,tusks,teeth,oink,forest,woods,trees
31,22,MOSQUITO,bite,insect,malaria,cheryl cole,bite,nozzle,blood,disease,net,warm,swat,pest,pestilence,plague,evil,trial,sore,itchy,sucking,africa
31,24,NAPKIN,wipe,serviette,clean,dab,mouth,lap,messy,cloth,food,face,mucky,clarity,dab,tissue,soak,towel,mop,i,,
31,30,RHUBARB,custard,plant,vegetable,garden,red,purple,sugar,taste,grown,harvest,plot,earth,mud,horticulture,farmer,gardener,leaves,,,
31,35,SPREAD,butter,legs,them,arms,bed,bed,toast,bilbo,food,party,party,margarine,yellow,crumpet,thin,out,eagle,wings,disease,gemrs
31,39,TOWER,castle,tall,princess,spikes,turret,roof,troll,drawbridge,dragon,wizard,high,prison,big,keep,fort,sauron,baradur,twin,plane,crash
31,40,XYLOPHONE,music,percussion,beaters,glockenspiel,timpani,notes,stand,conductor,school,classroom,christmas,cymbal,audience,play,chime,ding,bang,clunk,high,tuned
32,9,FARMYARD,animals,mud,poo picking,haybails,farmers,tractors,barns,pigs,cows,,,,,,,,,,,
32,10,FIG,dried,cook,tin,plant,edible,flower,fruit,flower,cook,dessert,snack,brown,purple,round,ripe,tender,syrup,fresh,tree,tree
32,12,FRAGMENT,broken,part,glass,clothing,plant,pottery,china,food,piece,broken,greenery,pots,pans,fa,,,,,,
32,14,GROUNDHOG,animal,day,rodent,usa,,,,,,,,,,,,,,,,
32,22,MOSQUITO,bites,hot country,sunscreen,bite cream,itchy,lumps,irritating,cover up,creams,infection,net,spray,swimming pool,night,holiday,sore,uncomfortable,annoying,tablets,creams
32,24,NAPKIN,table,eating,cleaning,wipe mouth,clear up mess,white,folded,under cutlery,restaurant,christmas dinner,cake,blow your nose,sick,baby,cooking,eating,dinner,lunch,clean,doggy bag
32,30,RHUBARB,custard,sweets,vegetable,fruit,smoothie,food,crumble,roasted,boiled,cream,flavor,garden,plant,cook,smells,vitamin,bone health,raw,inflammatory,tasty
32,35,SPREAD,butter,cheese,sauce,pizza,buffet,jam,honey,toast,sandwich,space,arts and crafts,space,,,,,,,,
32,39,TOWER,tall,heights,view,high,sky,stairs,lifts,big,busy,people,see for miles,can be seen for miles,building,ugly,big,skyscraper,window,door,fire exit,escalators
