Cit2;Cit1;ID;age;gender;hand;resp;RTs;accuracy
Bologna;Pescara;Eleonora;28;FALSE;DX;l;1326,7;1
Bologna;Pescara;andrea40;20;M;DX;l;1008,8;1
Bologna;Pescara;gf2002;20;f;dx;l;1036,6;1
Bologna;Pescara;ilaria51;24;FALSE;DX;l;343,5;1
Bologna;Pescara;martina54;28;FALSE;SX;l;1226,2;1
Bologna;Pescara;edoardo52;23;M;DX;l;1313;1
Bologna;Pescara;cristina16;20;FALSE;DX;l;1495,1;1
Bologna;Pescara;giulia28;25;FALSE;dx;l;940;1
Bologna;Pescara;susanna2;21;FALSE;DX;l;995,8;1
Bologna;Pescara;martina3;21;FALSE;DX;l;1109;1
Bologna;Pescara;emanuela36;20;FALSE;DX;l;2005;1
Bologna;Pescara;gaia4;19;FALSE;DX;l;1593,2;1
Bologna;Pescara;sean27;27;M;DX;l;2035;1
Bologna;Pescara;elia6;20;M;DX;l;1435,9;1
Bologna;Pescara;SF2002;20;FALSE;SX;a;1227,7;0
Bologna;Pescara;denise33;21;FALSE;DX;l;966,5;1
Bologna;Pescara;alessia69;26;FALSE;DX;l;1530;1
Bologna;Pescara;francesco68;27;M;SX;l;1302,1;1
Bologna;Pescara;GiorgioLazzari;24;M;DX;l;922,7;1
Bologna;Pescara;andra12;23;FALSE;DX;l;898,395;1
Bologna;Pescara;elena56;22;FALSE;DX;l;815,5;1
Bologna;Pescara;Laura66;20;FALSE;DX;l;976;1
Bologna;Pescara;riccardo72;22;M;DX;l;1034,9;1
Bologna;Pescara;giorgia55;22;FALSE;DX;l;916,3;1
Bologna;Pescara;serena;25;FALSE;DX;l;1188,5;1
Bologna;Pescara;valentina48;21;FALSE;DX;l;1231,4;1
Bologna;Pescara;federica17;22;FALSE;DX;l;1567;1
