"Trial.order","Subject","Subject.number","Trial.name","correct","response","RT","leksikalnost","FWD_BCW","LF_HF","CONC_ABS","izvorna_rec","trial.number","rec","task"
113,"s1.dat",1,"t127",0,"None",NA,"pseudorec","backw","HF","abst",NA,127,"JAJNIL","ALD"
113,"s1.dat",1,"t127",0,"None",NA,"pseudorec","backw","HF","abst",NA,127,"RATLUZ","VLD"
115,"s1.dat",1,"t182",0,"None",NA,"pseudorec","forw","HF","abst",NA,182,"CVETIL","ALD"
115,"s1.dat",1,"t182",0,"None",NA,"pseudorec","forw","HF","abst",NA,182,"DOLAŠ","VLD"
117,"s1.dat",1,"t237",1,"3",1312,"pseudorec","forw","LF","conc",NA,237,"IZDAP","ALD"
117,"s1.dat",1,"t237",1,"3",1312,"pseudorec","forw","LF","conc",NA,237,"FAGOH","VLD"
118,"s1.dat",1,"t51",0,"3",NA,"rec","backw","LF","conc","pekmez",51,"ZEMKEP","ALD"
118,"s1.dat",1,"t51",0,"3",NA,"rec","backw","LF","conc","šaran",51,"NARAŠ","VLD"
119,"s1.dat",1,"t236",0,"None",NA,"pseudorec","forw","LF","conc",NA,236,"UMNJAF","ALD"
119,"s1.dat",1,"t236",0,"None",NA,"pseudorec","forw","LF","conc",NA,236,"HR~AN","ALD"
121,"s1.dat",1,"t11",1,"1",1372,"rec","backw","HF","abst","zanos",11,"SONAZ","ALD"
121,"s1.dat",1,"t11",1,"1",1372,"rec","backw","HF","abst","smisao",11,"OASIMS","VLD"
122,"s1.dat",1,"t102",1,"1",871,"rec","forw","LF","abst","ljutnja",102,"LJUTNJA","ALD"
122,"s1.dat",1,"t102",1,"1",871,"rec","forw","LF","abst","profit",102,"PROFIT","VLD"
123,"s1.dat",1,"t145",1,"3",1171,"pseudorec","backw","HF","conc",NA,145,"TREZOB","ALD"
123,"s1.dat",1,"t145",1,"3",1171,"pseudorec","backw","HF","conc",NA,145,"HAMEŠ","VLD"
124,"s1.dat",1,"t15",1,"1",971,"rec","backw","HF","abst","misao",15,"OASIM","ALD"
124,"s1.dat",1,"t15",1,"1",971,"rec","backw","HF","abst","snaga",15,"AGANS","VLD"
125,"s1.dat",1,"t103",1,"1",772,"rec","forw","LF","abst","fizika",103,"FIZIKA","ALD"
125,"s1.dat",1,"t103",1,"1",772,"rec","forw","LF","abst","nedelo",103,"NEDELO","VLD"
126,"s1.dat",1,"t54",1,"1",911,"rec","backw","LF","conc","klovn",54,"NVOLK","ALD"
126,"s1.dat",1,"t54",1,"1",911,"rec","backw","LF","conc","štuka",54,"AKUTŠ","VLD"
127,"s1.dat",1,"t99",1,"1",571,"rec","forw","LF","abst","otkaz",99,"OTKAZ","ALD"
127,"s1.dat",1,"t99",1,"1",571,"rec","forw","LF","abst","zakup",99,"ZAKUP","VLD"
128,"s1.dat",1,"t208",1,"3",1091,"pseudorec","forw","HF","conc",NA,208,"GREJAP","ALD"
128,"s1.dat",1,"t208",1,"3",1091,"pseudorec","forw","HF","conc",NA,208,"TIKEN","VLD"
129,"s1.dat",1,"t94",1,"1",671,"rec","forw","LF","abst","trenje",94,"TRENJE","ALD"
129,"s1.dat",1,"t94",1,"1",671,"rec","forw","LF","abst","deoba",94,"DEOBA","VLD"
130,"s1.dat",1,"t113",1,"1",601,"rec","forw","LF","conc","alatka",113,"ALATKA","ALD"
130,"s1.dat",1,"t113",1,"1",601,"rec","forw","LF","conc","zebra",113,"ZEBRA","VLD"
131,"s1.dat",1,"t181",0,"None",NA,"pseudorec","forw","HF","abst",NA,181,"SOMUH","ALD"
131,"s1.dat",1,"t181",0,"None",NA,"pseudorec","forw","HF","abst",NA,181,"TANIH","VLD"
133,"s1.dat",1,"t124",0,"None",NA,"pseudorec","backw","HF","abst",NA,124,"SVINJAB","ALD"
133,"s1.dat",1,"t124",0,"None",NA,"pseudorec","backw","HF","abst",NA,124,"SPANAR","VLD"
135,"s1.dat",1,"t178",0,"None",NA,"pseudorec","backw","LF","conc",NA,178,"MANGUD","ALD"
135,"s1.dat",1,"t178",0,"None",NA,"pseudorec","backw","LF","conc",NA,178,"STALAV","VLD"
137,"s1.dat",1,"t86",1,"1",551,"rec","forw","HF","conc","krevet",86,"KREVET","ALD"
137,"s1.dat",1,"t86",1,"1",551,"rec","forw","HF","conc","lopta",86,"LOPTA","VLD"
138,"s1.dat",1,"t40",0,"3",NA,"rec","backw","LF","abst","aspekt",40,"TKEPSA","ALD"
138,"s1.dat",1,"t40",0,"3",NA,"rec","backw","LF","abst","revolt",40,"TLOVER","VLD"
139,"s1.dat",1,"t222",0,"None",NA,"pseudorec","forw","LF","abst",NA,222,"BAROL","ALD"
139,"s1.dat",1,"t222",0,"None",NA,"pseudorec","forw","LF","abst",NA,222,"TREGEN","VLD"
141,"s1.dat",1,"t159",1,"3",931,"pseudorec","backw","LF","abst",NA,159,"MALEG","ALD"
141,"s1.dat",1,"t159",1,"3",931,"pseudorec","backw","LF","abst",NA,159,"MADAZ","VLD"
142,"s1.dat",1,"t135",1,"3",922,"pseudorec","backw","HF","abst",NA,135,"LEMUK","ALD"
142,"s1.dat",1,"t135",1,"3",922,"pseudorec","backw","HF","abst",NA,135,"FALUČ","VLD"
143,"s1.dat",1,"t183",1,"3",1392,"pseudorec","forw","HF","abst",NA,183,"POGAJ","ALD"
143,"s1.dat",1,"t183",1,"3",1392,"pseudorec","forw","HF","abst",NA,183,"GURMAB","VLD"
144,"s1.dat",1,"t14",1,"1",1292,"rec","backw","HF","abst","posao",14,"OASOP","ALD"
