id	gender	childhood_location	current_location	native_language	education	age
1273	male	wa	wa	english	bachelors_degree	36
1274	male	mn	mn	english	bachelors_degree	25
1275	female	dallas	tx	english	some_college_no_degree	50
1276	other	louisiana	louisiana	english	masters_degree	31
1277	female	texas	louisiana	english	bachelors_degree	45
1278	male	ca	ca	english	masters_degree	29
1279	male	indiana	northcarolina	english	some_college_no_degree	20
1280	male	nj	nj	english	NA	31
1281	male	virginia	virginia	english	bachelors_degree	45
1282	male	connecticut	connecticut	english	bachelors_degree	27
1283	male	florida	florida	english	bachelors_degree	34
1284	male	newyork	newyork	english	some_college_no_degree	48
1285	female	nj	mi	english	doctorate	42
1286	female	massachusetts	massachusetts	english	some_college_no_degree	21
1287	female	indiana	indiana	english	bachelors_degree	33
1288	female	newyork	newyork	english	some_college_no_degree	53
1289	female	newyork	maryland	english	masters_degree	32
1290	male	ny	ny	english	bachelors_degree	28
1291	male	florida	florida	english	some_college_no_degree	37
1292	female	florida	virginia	english	associates_degree	52
1293	male	ohio	ohio	english	bachelors_degree	26
1294	other	geogia	southcarolina	english	masters_degree	33
1295	male	oh	oh	english	bachelors_degree	60
1296	female	pennsylvania	pennsylvania	english	high_school_graduate	32
1297	male	pennsylvania	pennsylvania	english	bachelors_degree	35
1298	female	fl	fl	english	some_college_no_degree	20
1299	male	washington	northcarolina	english	bachelors_degree	39
1300	female	ny	sc	english	bachelors_degree	49
1301	female	massachusetts	maine	english	masters_degree	50
1302	male	newyork	newyork	english	high_school_graduate	23
1303	male	california	florida	english	associates_degree	39
1304	male	ny	ny	english	some_college_no_degree	43
1305	male	tennessee	tennessee	english	some_high_school	39
1306	male	sc	sc	english	masters_degree	50
1307	male	florida	florida	english	bachelors_degree	26
1308	male	maine	maine	english	bachelors_degree	26
1309	male	northcarolina	northcarolina	english	some_college_no_degree	40
1310	female	newyork	newyork	english	masters_degree	30
1311	male	pennsylvania	newjersey	english	bachelors_degree	39
1312	male	pennslyvania	newyork	english	masters_degree	33
1313	male	michigan	michigan	english	masters_degree	33
1314	male	california	california	english	bachelors_degree	37
1315	male	florida	florida	english	high_school_graduate	25
1316	female	unitedstates	northcarolina	english	bachelors_degree	36
1317	female	on	on	english	bachelors_degree	41
1318	female	in	in	english	masters_degree	43
1319	male	ny	ny	english	bachelors_degree	35
1320	female	newyork	newyork	english	bachelors_degree	28
1321	female	virginia	virginia	english	some_college_no_degree	35
1322	male	southcarolina	southcarolina	english	associates_degree	38
1323	male	newyork	newyork	english	masters_degree	33
1324	male	massachusetts	newyork	english	masters_degree	34
1325	male	pennsylvania	pennsylvania	english	some_college_no_degree	21
1326	female	northcarolina	northcarolina	english	some_college_no_degree	20
1327	male	florida	indiana	english	masters_degree	26
1328	NA	california	california	english	associates_degree	54
1329	male	fl	fl	english	bachelors_degree	33
1330	male	mi	ny	english	masters_degree	56
1331	male	nc	nc	english	bachelors_degree	30
1332	female	virginia	virginia	english	some_college_no_degree	38
1333	male	nccharlotte	nccharlotte	english	bachelors_degree	49
1334	female	va	va	english	some_college_no_degree	26
1335	male	md	md	english	some_college_no_degree	32
1336	female	california	california	english	high_school_graduate	20
1337	male	nc	ca	english	associates_degree	35
1338	male	california	california	english	masters_degree	31
1339	male	ga	ga	english	masters_degree	40
1340	female	illinois	illinois	english	bachelors_degree	23
1341	female	alabama	alabama	english	high_school_graduate	26
1342	female	oh	ca	english	some_college_no_degree	38
1343	male	illinois	oregon	english	some_college_no_degree	27
1344	male	ohio	california	english	associates_degree	40
1345	male	northcarolina	charlotte	english	bachelors_degree	33
1346	male	ohio	ohio	english	some_college_no_degree	40
1347	male	california	california	english	bachelors_degree	32
1348	male	wa	mt	english	NA	34
1349	female	newyork	colorado	english	bachelors_degree	25
1350	male	wyoming	wyoming	english	bachelors_degree	27
1351	male	missouri	missouri	english	high_school_graduate	33
1352	female	texas	texas	english	masters_degree	23
1353	male	texas	texas	english	doctorate	35
1354	male	wisconsin	minnesota	english	masters_degree	34
1355	male	tx	tx	english	bachelors_degree	37
1356	male	oklahoma	oklahoma	english	masters_degree	35
1357	female	kansas	oklahoma	english	some_college_no_degree	41
1358	male	oh	il	english	masters_degree	36
1359	male	illinois	illinois	english	high_school_graduate	23
1360	male	tx	tx	english	bachelors_degree	23
1361	male	iowa	texas	english	some_college_no_degree	29
1362	female	newyork	gorgi	english	NA	32
1363	male	md	va	english	bachelors_degree	25
1364	male	ny	ny	chinese	bachelors_degree	24
1365	male	newyork	newyorkcounty	english	masters_degree	41
1366	male	md	md	english	bachelors_degree	31
1367	female	illinois	virginia	english	masters_degree	33
1368	male	florida	florida	english	bachelors_degree	30
1369	female	virginia	virginia	english	some_college_no_degree	23
1370	male	arkansas	arkansas	english	high_school_graduate	24
1371	male	iowa	northcarolina	english	bachelors_degree	32
1372	male	ma	sc	english	masters_degree	39
1373	female	kentucky	kentucky	english	bachelors_degree	28
1374	female	ny	ny	english	some_college_no_degree	52
1375	male	al	tn	english	masters_degree	32
1376	female	pa	pa	english	bachelors_degree	39
1377	male	md	nc	english	some_college_no_degree	29
1378	female	pa	pennsylvania	english	bachelors_degree	48
1379	male	ct	ct	english	bachelors_degree	28
1380	female	va	fl	english	bachelors_degree	27
1381	female	wisconsin	tennessee	english	bachelors_degree	35
1382	female	california	california	english	bachelors_degree	21
1383	male	newyork	newyork	english	masters_degree	37
1384	male	california	california	english	masters_degree	34
1385	male	newyork	newyork	english	masters_degree	37
1386	male	florida	florida	english	bachelors_degree	41
1387	other	arkansas	arkansas	english	bachelors_degree	28
1388	male	illinois	illinois	english	masters_degree	28
1389	female	il	il	english	bachelors_degree	44
1390	male	pennsylvania	ohio	english	doctorate	31
1391	female	il	il	english	high_school_graduate	42
1392	male	pennsylvania	newjersey	english	bachelors_degree	47
1393	male	wisconsin	virginia	english	doctorate	54
1394	female	az	va	english	some_college_no_degree	52
1395	female	ma	pa	english	some_college_no_degree	54
1396	female	newjersey	newjersey	english	associates_degree	36
1397	female	california	california	english	bachelors_degree	26
1398	male	washington	washington	english	high_school_graduate	33
1399	male	ca	ca	english	bachelors_degree	41
1400	male	northcarolina	arizona	english	some_college_no_degree	19
1401	no_say	california	california	english	bachelors_degree	23
