"list","participant_id","trial_id","stimulus","trial_order","lexicality","response","accuracy","rt"
"PRIDEVI_B","subject-82.csv",95,"UMORNOG",227,"rec","1",1,1049
"PRIDEVI_B","subject-82.csv",107,"SOROKOG",228,"pseudorec","3",1,1039
"PRIDEVI_B","subject-82.csv",58,"OTVORENOJ",229,"rec","1",1,544
"PRIDEVI_B","subject-82.csv",34,"LJUDSKOJ",230,"rec","1",1,584
"PRIDEVI_B","subject-82.csv",125,"PIKANOG",231,"pseudorec","3",1,663
"PRIDEVI_A","subject-81.csv",120,"RIJENOG",20,"pseudorec","3",1,556
"PRIDEVI_A","subject-81.csv",6,"BURNOJ",21,"rec","1",1,449
"PRIDEVI_A","subject-81.csv",38,"MIRISNOM",22,"rec","1",1,479
"PRIDEVI_A","subject-81.csv",71,"RANJENOM",23,"rec","3",0,605
"PRIDEVI_A","subject-81.csv",9,"ČUDNOJ",24,"rec","1",1,470
"PRIDEVI_A","subject-81.csv",174,"BUŽNOM",25,"pseudorec","3",1,542
"PRIDEVI_A","subject-81.csv",37,"MEKOG",26,"rec","1",1,405
"PRIDEVI_A","subject-81.csv",148,"MORIVOM",27,"pseudorec","1",0,503
"PRIDEVI_A","subject-81.csv",121,"GILANOG",28,"pseudorec","3",1,642
"PRIDEVI_A","subject-81.csv",123,"TEZIVOG",29,"pseudorec","1",0,433
"PRIDEVI_A","subject-81.csv",94,"TUŽNOG",30,"rec","3",0,455
"PRIDEVI_A","subject-81.csv",114,"LARUTOG",31,"pseudorec","3",1,539
"PRIDEVI_A","subject-81.csv",203,"FLARATOJ",32,"pseudorec","3",1,619
"PRIDEVI_A","subject-81.csv",125,"PIKANOG",33,"pseudorec","3",1,537
"PRIDEVI_A","subject-81.csv",102,"ZLOJ",34,"rec","3",0,488
"PRIDEVI_A","subject-81.csv",200,"LANKOJ",35,"pseudorec","3",1,625
"PRIDEVI_A","subject-81.csv",176,"STROSOM",36,"pseudorec","3",1,663
"PRIDEVI_A","subject-81.csv",134,"LATNOG",37,"pseudorec","3",1,530
"PRIDEVI_A","subject-81.csv",82,"SMRTNOG",38,"rec","1",1,444
"PRIDEVI_A","subject-81.csv",124,"VETANOG",39,"pseudorec","3",1,474
"PRIDEVI_A","subject-81.csv",161,"SUDAVOM",40,"pseudorec","3",1,484
"PRIDEVI_A","subject-81.csv",170,"PEFENOM",41,"pseudorec","3",1,341
"PRIDEVI_A","subject-81.csv",77,"ŠIROKOM",42,"rec","1",1,428
"PRIDEVI_A","subject-81.csv",8,"ČITAVOM",43,"rec","1",1,391
"PRIDEVI_A","subject-81.csv",65,"PRAVILNOM",44,"rec","1",1,456
"PRIDEVI_A","subject-81.csv",152,"TULAVOM",45,"pseudorec","3",1,368
"PRIDEVI_A","subject-81.csv",76,"SEVERNOG",46,"rec","1",1,388
"PRIDEVI_A","subject-81.csv",157,"LASIVOM",47,"pseudorec","3",1,355
"PRIDEVI_A","subject-81.csv",50,"NEVINOM",48,"rec","1",1,368
"PRIDEVI_A","subject-81.csv",179,"HUPENOJ",49,"pseudorec","1",0,402
"PRIDEVI_A","subject-81.csv",204,"GANKOJ",50,"pseudorec","3",1,545
"PRIDEVI_A","subject-81.csv",56,"ODLIČNOM",51,"rec","1",1,420
"PRIDEVI_A","subject-81.csv",149,"RISOKOM",52,"pseudorec","3",1,559
"PRIDEVI_A","subject-81.csv",83,"SPORTSKOM",53,"rec","1",1,366
"PRIDEVI_A","subject-81.csv",178,"CUSNOJ",54,"pseudorec","3",1,373
"PRIDEVI_A","subject-81.csv",211,"GUJAFOJ",55,"pseudorec","3",1,521
"PRIDEVI_A","subject-81.csv",12,"DAVNOJ",56,"rec","3",0,447
"PRIDEVI_A","subject-81.csv",74,"RODNOM",57,"rec","1",1,385
"PRIDEVI_A","subject-81.csv",99,"VLAŽNOJ",58,"rec","3",0,455
"PRIDEVI_A","subject-81.csv",30,"KULTURNOJ",59,"rec","3",0,659
"PRIDEVI_A","subject-81.csv",185,"VEDNOJ",60,"pseudorec","3",1,594
"PRIDEVI_A","subject-81.csv",47,"NEMIRNOM",61,"rec","1",1,442
"PRIDEVI_A","subject-81.csv",2,"BESKRAJNOM",62,"rec","1",1,508
"PRIDEVI_A","subject-81.csv",180,"SAŽNOJ",63,"pseudorec","1",0,300
"PRIDEVI_A","subject-81.csv",89,"SUROVOM",64,"rec","1",1,417
"PRIDEVI_A","subject-81.csv",130,"KUDNOG",65,"pseudorec","1",0,497
"PRIDEVI_A","subject-81.csv",98,"VISOKOM",66,"rec","1",1,446
"PRIDEVI_A","subject-81.csv",10,"ČUDESNOG",67,"rec","1",1,397
"PRIDEVI_A","subject-81.csv",159,"KILENOM",68,"pseudorec","1",0,400
"PRIDEVI_A","subject-81.csv",45,"NEBESKOJ",69,"rec","1",1,463
"PRIDEVI_A","subject-81.csv",187,"FUKAVOJ",70,"pseudorec","3",1,528
"PRIDEVI_A","subject-81.csv",5,"BUDNOM",71,"rec","1",1,384
"PRIDEVI_A","subject-81.csv",26,"KONAČNOM",72,"rec","1",1,577
"PRIDEVI_A","subject-81.csv",103,"ZIMSKOG",73,"rec","1",1,769
"PRIDEVI_A","subject-81.csv",205,"VOLENOJ",74,"pseudorec","3",1,559
"PRIDEVI_A","subject-81.csv",36,"MASOVNOJ",75,"rec","1",1,478
"PRIDEVI_A","subject-81.csv",54,"NOĆNOJ",76,"rec","1",1,441
"PRIDEVI_A","subject-81.csv",188,"KLAKNOJ",77,"pseudorec","1",0,464
"PRIDEVI_A","subject-81.csv",110,"DORANOG",78,"pseudorec","3",1,1193
"PRIDEVI_A","subject-81.csv",129,"SIRANOG",79,"pseudorec","3",1,1270
"PRIDEVI_A","subject-81.csv",111,"TOLANOG",80,"pseudorec","3",1,525
"PRIDEVI_A","subject-81.csv",81,"SLOBODNOJ",81,"rec","1",1,398
"PRIDEVI_A","subject-81.csv",145,"KESANOM",82,"pseudorec","3",1,388
"PRIDEVI_A","subject-81.csv",122,"ROTANOG",83,"pseudorec","3",1,546
"PRIDEVI_A","subject-81.csv",40,"MORSKOG",84,"rec","1",1,454
"PRIDEVI_A","subject-81.csv",75,"SELJAČKOJ",85,"rec","3",0,576
"PRIDEVI_A","subject-81.csv",193,"BLUGAVOJ",86,"pseudorec","3",1,683
"PRIDEVI_A","subject-81.csv",84,"STAKLENOJ",87,"rec","1",1,448
"PRIDEVI_A","subject-81.csv",48,"NEPOZNATOJ",88,"rec","1",1,410
"PRIDEVI_A","subject-81.csv",34,"LJUDSKOG",89,"rec","1",1,501
"PRIDEVI_A","subject-81.csv",23,"GUSTOM",90,"rec","1",1,376
"PRIDEVI_A","subject-81.csv",88,"ŠUMSKOG",91,"rec","1",1,408
"PRIDEVI_A","subject-81.csv",143,"RIZANOM",92,"pseudorec","1",0,411
"PRIDEVI_A","subject-81.csv",42,"MUTNOJ",93,"rec","1",1,510
"PRIDEVI_A","subject-81.csv",62,"POSEBNOM",94,"rec","1",1,386
"PRIDEVI_A","subject-81.csv",100,"VRELOG",95,"rec","1",1,399
"PRIDEVI_A","subject-81.csv",72,"RATNOJ",96,"rec","1",1,545
"PRIDEVI_A","subject-81.csv",46,"NEČUJNOG",97,"rec","1",1,388
"PRIDEVI_A","subject-81.csv",14,"DNEVNOM",98,"rec","1",1,367
"PRIDEVI_A","subject-81.csv",146,"PANANOM",99,"pseudorec","3",1,597
"PRIDEVI_A","subject-81.csv",28,"KRATKOG",100,"rec","1",1,425
"PRIDEVI_A","subject-81.csv",199,"URTIVOJ",101,"pseudorec","1",0,365
"PRIDEVI_A","subject-81.csv",66,"PRIRODNOJ",102,"rec","1",1,470
"PRIDEVI_A","subject-81.csv",116,"LURIVOG",103,"pseudorec","3",1,512
"PRIDEVI_A","subject-81.csv",60,"PLEMENITOJ",104,"rec","1",1,454
"PRIDEVI_A","subject-81.csv",61,"POLITIČKOG",105,"rec","1",1,519
"PRIDEVI_A","subject-81.csv",162,"NORNOM",106,"pseudorec","1",0,401
"PRIDEVI_A","subject-81.csv",39,"MOĆNOJ",107,"rec","1",1,573
"PRIDEVI_A","subject-81.csv",27,"KONKRETNOJ",108,"rec","1",1,387
"PRIDEVI_A","subject-81.csv",183,"FORKOJ",109,"pseudorec","3",1,393
"PRIDEVI_A","subject-81.csv",96,"UPORNOJ",110,"rec","1",1,448
"PRIDEVI_A","subject-81.csv",17,"EKONOMSKOM",111,"rec","1",1,617
"PRIDEVI_A","subject-81.csv",33,"LIČNOJ",112,"rec","1",1,352
"PRIDEVI_A","subject-81.csv",132,"PUMNOG",113,"pseudorec","3",1,546
"PRIDEVI_A","subject-81.csv",126,"RIROKOG",114,"pseudorec","1",0,298
"PRIDEVI_A","subject-81.csv",197,"LAPANOJ",115,"pseudorec","3",1,547
"PRIDEVI_A","subject-81.csv",168,"DEMITOM",116,"pseudorec","3",1,590
"PRIDEVI_A","subject-81.csv",164,"PLOSTOM",117,"pseudorec","3",1,464
"PRIDEVI_A","subject-81.csv",154,"GLOMNOM",118,"pseudorec","3",1,573
"PRIDEVI_A","subject-81.csv",184,"SRLAVOJ",119,"pseudorec","3",1,674
"PRIDEVI_A","subject-81.csv",4,"BOLESNOG",120,"rec","1",1,712
"PRIDEVI_A","subject-81.csv",31,"LAKOG",121,"rec","1",1,455
"PRIDEVI_A","subject-81.csv",106,"ZNAČAJNOG",122,"rec","1",1,423
"PRIDEVI_A","subject-81.csv",163,"MRGAVOM",123,"pseudorec","3",1,625
"PRIDEVI_A","subject-81.csv",91,"TAČNOG",124,"rec","1",1,423
