spelling	coltheart.N	OLD20	celex.frequency	celex.cd	celex.frequency.lemma	subtlex.frequency	subtlex.cd	subtlex.frequency.lemma	subtlex.frequency.million	subtlex.log10.frequency	subtlex.cd.percentage	subtlex.log10.cd	subtlex.dominant.pos	subtlex.dominant.pos.frequency	subtlex.dominant.pos.lemma	subtlex.dominant.pos.lemma.frequency	subtlex.all.pos	subtlex.all.pos.frequency	subtlex.all.pos.lemma.frequency	summed.monogram	summed.bigram	summed.trigram	stress	nchar	nsyl	celex.morphology	celex.flection	celex.synclass
makt	18	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1938728	76713	8378	NA	NA	NA	NA	NA	NA
makten	15	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2827468	334514	100372	NA	NA	NA	NA	NA	NA
mal	23	1	118	119	520	362	239	477	8.2782	2.5599	2.9616	2.3802	N	189	mal	196	.N.SPEC.ADJ.	.189.131.42.	.196.131.150.	1764580	50072	5876	1	3	1	monomorphemic	positive.singular.singular 1p present.singular 2p present inversed	Adjective.Noun.Verb
maldaan	0	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2670831	206818	18342	NA	NA	NA	NA	NA	NA
maleis	3	1.85	109	16	149	1	1	1	0.0229	0.301	0.0124	0.301	SPEC	1	maleis	1	.SPEC.	.1.	.1.	2798044	141778	10666	NA	NA	NA	NA	NA	NA
malen	21	1	1607	430	5395	214	204	1118	4.8937	2.3324	2.5279	2.3118	N	178	maal	934	.N.WW.	.178.36.	.934.184.	2653320	293953	86512	10	5	2	monomorphemic	infinitive.plural.plural present	Noun.Verb
malent	2	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2883893	270887	25901	NA	NA	NA	NA	NA	NA
malf	7	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1808820	48263	4702	NA	NA	NA	NA	NA	NA
maling	6	1.6	119	65	119	731	565	731	16.7164	2.8645	7.0012	2.7528	N	731	maling	731	.N.	.731.	.731.	2397619	153853	38695	10	6	2	complex	singular	Noun
malke	8	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2472355	138215	6312	NA	NA	NA	NA	NA	NA
malken	13	1.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2755269	292523	86743	NA	NA	NA	NA	NA	NA
malks	0	1.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2068338	81520	5352	NA	NA	NA	NA	NA	NA
malle	7	1.45	355	94	451	108	90	151	2.4697	2.0374	1.1152	1.959	ADJ	107	mal	150	.ADJ.SPEC.	.107.1.	.150.1.	2528780	147700	12017	10	5	2	monomorphemic	positive suffix-e	Adjective
mallen	17	1	21	7	56	5	3	196	0.1143	0.7782	0.0372	0.6021	N	5	mal	196	.N.	.5.	.196.	2811694	302008	90910	10	6	2	monomorphemic	infinitive.plural.plural present	Noun.Verb
mallers	1	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2996258	256157	37610	NA	NA	NA	NA	NA	NA
malm	11	1.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1840699	47143	4673	NA	NA	NA	NA	NA	NA
mals	13	1.1	104	69	192	49	43	67	1.1205	1.699	0.5328	1.6435	ADJ	49	mals	67	.ADJ.	.49.	.67.	1966389	80646	7657	1	4	1	monomorphemic	positive	Adjective
malse	7	1.5	78	51	192	17	17	69	0.3888	1.2553	0.2107	1.2553	ADJ	16	mals	67	.ADJ.N.	.16.1.	.67.2.	2572215	132562	6635	10	5	2	monomorphemic	positive suffix-e	Adjective
maltes	2	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2802788	176683	16540	NA	NA	NA	NA	NA	NA
maluënt	0	2.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2360417	100989	6408	NA	NA	NA	NA	NA	NA
malver	5	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2698443	221546	45957	NA	NA	NA	NA	NA	NA
