spelling	lexicality	rt	zscore	accuracy	rt.sd	zscore.sd	accuracy.sd	sub50.rt	sub50.zscore	sub50.accuracy	sub50.rt.sd	sub50.zscore.sd	sub50.accuracy.sd
keuger	N	615.736842105263	-0.408979095023622	0.974358974358974	204.505558532865	0.823229858919223	0.160128153805087	621.026315789474	-0.370321200788291	0.974358974358974	205.092264911674	0.80658948586047	0.160128153805087
keugers	N	650.333333333333	-0.171424444263128	1	160.339825524175	0.786823238481821	0	650.333333333333	-0.171424444263128	1	160.339825524175	0.786823238481821	0
keuk	N	772.6875	0.452445843565827	0.82051282051282	191.679072763523	0.797731828700281	0.388776411984472	772.6875	0.452445843565827	0.82051282051282	191.679072763523	0.797731828700281	0.388776411984472
keukje	N	775.655172413793	0.973045713812224	0.846153846153846	138.560269470949	1.17318171544811	0.365517768195196	775.655172413793	0.973045713812224	0.846153846153846	138.560269470949	1.17318171544811	0.365517768195196
keukte	N	772.513513513514	0.512906031105990	0.974358974358974	191.996473003140	0.896814986479681	0.160128153805087	769.25	0.494707105900866	0.948717948717949	193.676368497258	0.902043744377121	0.223455865030959
keunel	N	631.282051282051	-0.241466041379773	1	123.152440563450	0.520519395716608	0	629.51282051282	-0.237440539726653	1	123.091936499955	0.5260564136211	0
keunen	N	690.484848484848	0.403019454164641	0.923076923076923	137.217236802661	1.16902394395205	0.269952762399508	690.484848484848	0.403019454164641	0.923076923076923	137.217236802661	1.16902394395205	0.269952762399508
keuner	N	712.894736842105	0.377010978413318	1	178.36870248338	1.01459399176140	0	712.894736842105	0.377010978413318	1	178.36870248338	1.01459399176140	0
keurheid	N	953.9375	1.87815692963305	0.538461538461538	187.423039761213	1.32332478228456	0.505035373756076	953.9375	1.87815692963305	0.538461538461538	187.423039761213	1.32332478228456	0.505035373756076
keurpijn	N	816.88	1.19973675468271	0.769230769230769	213.391135398513	1.29940467172683	0.426832794918354	817.615384615385	1.16171990433077	0.769230769230769	209.113381097065	1.26823713428959	0.426832794918354
keurtje	N	955.4	2.16429141914485	0.384615384615385	184.041178966979	1.53325137697940	0.492864058090144	955.4	2.16429141914485	0.384615384615385	184.041178966979	1.53325137697940	0.492864058090144
keurtjes	N	834.692307692308	1.40476307826719	0.435897435897436	180.477784697261	1.37799790852494	0.502356122102941	834.692307692308	1.40476307826719	0.435897435897436	180.477784697261	1.37799790852494	0.502356122102941
keurvrouw	N	789.875	1.01762547919330	0.717948717948718	226.295365377430	1.18314951938714	0.455880752454893	792.64	1.02003968500351	0.743589743589744	221.961685882947	1.16190250164999	0.442359030054757
kezens	N	637.736842105263	-0.248754538604458	0.974358974358974	199.755889431904	0.73757216550514	0.160128153805087	636.631578947368	-0.223546654048909	0.974358974358974	199.63756634145	0.789494240791086	0.160128153805087
kezing	N	660.179487179487	-0.112136363356620	1	182.04783521095	0.74866249699393	0	651.666666666667	-0.139278930980268	1	177.229160802043	0.747604003684892	0
kibis	N	597.358974358974	-0.42631195548307	1	124.480285308555	0.781940228053421	0	597.358974358974	-0.42631195548307	1	124.480285308555	0.781940228053421	0
kiby	N	572.564102564103	-0.654165888706934	1	123.350761069441	0.430188344120600	0	570.179487179487	-0.664647912287124	1	124.159038883894	0.436682859638711	0
kicht	N	630.717948717949	-0.262832009077811	1	146.025943750804	0.771919986837605	0	628.589743589744	-0.255685338592250	1	145.169903715162	0.775223833733088	0
kichten	N	618.421052631579	-0.187325795809144	1	124.800951048643	0.860324198111882	0	613.342105263158	-0.197841382583402	1	117.053066347678	0.857702233059198	0
kidier	N	575.368421052632	-0.590919935047628	0.974358974358974	117.532151105072	0.484532101547257	0.160128153805087	575.368421052632	-0.590919935047628	0.974358974358974	117.532151105072	0.484532101547257	0.160128153805087
kie	N	709.258064516129	0.347986470066264	0.846153846153846	150.371089362713	1.13940135738750	0.365517768195196	709.258064516129	0.347986470066264	0.846153846153846	150.371089362713	1.13940135738750	0.365517768195196
kied	N	566.421052631579	-0.557337309975067	1	103.405167830226	0.789892785345993	0	566.421052631579	-0.557337309975067	1	103.405167830226	0.789892785345993	0
kieden	N	621.025641025641	-0.319475126919846	1	133.416736735035	0.502235631060553	0	623	-0.321649883951403	1	134.799070744884	0.501360086920738	0
kiegen	N	645.410256410256	-0.178594158541601	1	127.514027700716	0.65253800499441	0	644.692307692308	-0.187024028253201	1	127.710642067002	0.656622579490459	0
kiekers	N	744.1875	0.514547863595727	0.871794871794872	193.039263514096	1.02739739858844	0.338688428429370	741.875	0.544934249764825	0.871794871794872	189.841147516345	1.03538964260406	0.338688428429370
kieme	N	676.382352941176	-0.00510351892786991	0.897435897435897	217.722511009671	1.12203457522783	0.307354740604728	676.382352941176	-0.00510351892786991	0.897435897435897	217.722511009671	1.12203457522783	0.307354740604728
