"participant_id","trial_id","stimulus","trial_order","lexicality","response","accuracy","rt"
"s1.dat","t2","MAJOP",240,"rec","3",0,NA
"s1.dat","t156","MINUR",241,"pseudorec","3",1,1111
"s1.dat","t156","PUDINC",241,"pseudorec","3",1,1111
"s1.dat","t193","JARAT",242,"pseudorec","1",0,NA
"s1.dat","t193","PROLOZ",242,"pseudorec","1",0,NA
"s1.dat","t210","GORAZ",243,"pseudorec","None",0,NA
"s1.dat","t210","SATEP",243,"pseudorec","None",0,NA
"s1.dat","t42","OLGUR",245,"rec","3",0,NA
"s1.dat","t42","ROMAZ",245,"rec","3",0,NA
"s1.dat","t139","ZEJTIZ",246,"pseudorec","3",1,1452
"s1.dat","t139","HIBRIF",246,"pseudorec","3",1,1452
"s1.dat","t100","TRPNJA",247,"rec","3",1,621
"s1.dat","t100","RASPON",247,"rec","3",1,621
"s1.dat","t34","KIZIR",248,"rec","None",0,NA
"s1.dat","t34","VILPU",248,"rec","None",0,NA
"s1.dat","t206","GLUPAR",250,"pseudorec","None",0,NA
"s1.dat","t206","ARHID",250,"pseudorec","None",0,NA
"s1.dat","t56","EĆRIS",252,"rec","3",1,1032
"s1.dat","t56","ARBOK",252,"rec","3",1,1032
"s1.dat","t220","PERAĐ",253,"pseudorec","None",0,NA
"s1.dat","t220","BUMBAG",253,"pseudorec","None",0,NA
"s1.dat","t7","SECORP",255,"rec","3",0,NA
"s1.dat","t7","TSIROK",255,"rec","3",0,NA
"s1.dat","t23","OLEDO",256,"rec","3",1,1082
"s1.dat","t23","OTALB",256,"rec","3",1,1082
"s1.dat","t142","ZUBID",257,"pseudorec","3",1,1092
"s1.dat","t142","KEDAP",257,"pseudorec","3",1,1092
"s1.dat","t143","BRLOF",258,"pseudorec","3",1,971
"s1.dat","t143","BATAZ",258,"pseudorec","3",1,971
"s1.dat","t204","LEWIZ",259,"pseudorec","None",0,NA
"s1.dat","t204","BILIOD",259,"pseudorec","None",0,NA
"s1.dat","t115","BOŽUR",261,"rec","3",1,601
"s1.dat","t115","PRASE",261,"rec","3",1,601
"s1.dat","t235","EGZIČ",262,"pseudorec","3",1,691
"s1.dat","t235","MAHET",262,"pseudorec","3",1,691
"s1.dat","t75","RADOST",263,"rec","3",1,561
"s1.dat","t75","LJUBAV",263,"rec","3",1,561
"s1.dat","t39","AMERT",264,"rec","3",1,1141
"s1.dat","t39","AKUOP",264,"rec","3",1,1141
"s1.dat","t45","TSOKAP",265,"rec","3",1,931
"s1.dat","t45","DOHSI",265,"rec","3",1,931
"s1.dat","t49","CARAJ",266,"rec","3",1,1212
"s1.dat","t49","ALGEP",266,"rec","3",1,1212
"s1.dat","t227","CIMEČ",267,"pseudorec","None",0,NA
"s1.dat","t227","VITALJ",267,"pseudorec","None",0,NA
"s1.dat","t125","PANCIT",269,"pseudorec","1",0,NA
"s1.dat","t125","AKSIOK",269,"pseudorec","1",0,NA
"s1.dat","t192","OMLEZ",270,"pseudorec","None",0,NA
"s1.dat","t192","IRVAB",270,"pseudorec","None",0,NA
"s1.dat","t95","APSURD",272,"rec","3",1,621
"s1.dat","t95","OPSEG",272,"rec","3",1,621
"s1.dat","t93","SKEPSA",273,"rec","3",1,822
