Target;Prime;ID;hand;age;gender;resp;RTs;resp_corr;accuracy
attico;tromba;31;DX;27;F;1;0,800015;1;1
attico;tromba;3;DX;21;F;1;0,523965;1;1
attico;tromba;67;DX;24;M;1;0,64669;1;1
attico;tromba;28;DX;24;F;1;0,815;1;1
attico;tromba;48;DX;21;F;1;0,800335;1;1
attico;tromba;21;DX;24;F;1;0,71691;1;1
attico;tromba;34;DX;22;F;1;0,45555;1;1
attico;tromba;71;DX;21;M;1;0,731155;1;1
attico;tromba;49;DX;21;F;1;0,776465;1;1
attico;tromba;38;DX;20;F;1;0,759445;1;1
attico;tromba;11;DX;23;M;1;1,03007;1;1
attico;tromba;15;DX;23;F;1;0,791775;1;1
attico;tromba;35;DX;23;m;1;0,682;1;1
attico;tromba;10;DX;23;F;0;0,473535;1;0
attico;tromba;62;SX;24;M;1;0,632255;1;1
attico;tromba;59;DX;22;F;1;0,61765;1;1
attico;tromba;18;DX;23;F;1;0,58609;1;1
attico;tromba;14;DX;21;M;1;0,712;1;1
attico;tromba;54;DX;26;F;1;0,543345;1;1
attico;tromba;17;DX;23;F;1;0,58161;1;1
attico;tromba;6;DX;30;F;1;0,70046;1;1
attico;tromba;42;DX;23;M;1;0,798835;1;1
attico;tromba;72;DX;20;F;1;0,612;1;1
attico;tromba;9;DX;26;F;1;0,661925;1;1
attico;tromba;29;DX;24;F;1;0,65322;1;1
attico;tromba;4;DX;30;M;1;0,583715;1;1
attico;tromba;8;SX;21;F;1;0,93349;1;1
attico;tromba;56;SX;22;M;1;0,859475;1;1
attico;tromba;19;DX;20;F;1;0,75093;1;1
attico;tromba;44;DX;24;M;1;0,61545;1;1
attico;tromba;51;DX;25;M;1;0,70794;1;1
attico;tromba;57;DX;29;F;1;0,833055;1;1
attico;tromba;50;DX;22;F;1;0,536;1;1
attico;tromba;23;DX;22;M;1;0,93884;1;1
attico;tromba;45;DX;21;F;1;0,44093;1;1
attico;tromba;33;DX;22;M;1;0,665;1;1
attico;tromba;39;DX;28;F;0;0,54467;1;0
attico;tromba;24;DX;22;F;1;0,483845;1;1
attico;tromba;75;DX;24;F;1;0,542195;1;1
attico;tromba;20;DX;22;F;0;0,81839;1;0
attico;tromba;73;SX;21;F;1;0,567735;1;1
