Concept_NO,Image_NO,Concept,Concept_Image,URL,Attribution
15,58,collie,2,https://commons.wikimedia.org/wiki/File:Collie_087.jpg,"Pleple2000 (https://commons.wikimedia.org/wiki/File:Collie_087.jpg), „Collie 087“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
15,59,collie,3,https://commons.wikimedia.org/wiki/File:Rough-Collie-japan07.jpg,"Yasu w (https://commons.wikimedia.org/wiki/File:Rough-Collie-japan07.jpg), background removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
15,60,collie,4,https://commons.wikimedia.org/wiki/File:Rough-Collie-japan07.jpg,"Yasu w (https://commons.wikimedia.org/wiki/File:Rough-Collie-japan07.jpg), background removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
16,61,labrador,1,https://commons.wikimedia.org/wiki/File:Black_labrador_retriever.jpg,"Giuseppe Pitzus (https://commons.wikimedia.org/wiki/File:Black_labrador_retriever.jpg), background removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
16,62,labrador,2,https://commons.wikimedia.org/wiki/File:Chocolate_Labrador_Retrievers_pair.jpg,"Flickr user Blaine Hansel (https://commons.wikimedia.org/wiki/File:Chocolate_Labrador_Retrievers_pair.jpg), „Chocolate Labrador Retrievers pair“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
16,63,labrador,3,https://commons.wikimedia.org/wiki/File:Female_Black_Labrador_Retriever.jpg,"Kreuzschnabel (https://commons.wikimedia.org/wiki/File:Female_Black_Labrador_Retriever.jpg), „Female Black Labrador Retriever“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
16,64,labrador,4,https://commons.wikimedia.org/wiki/File:Labrador_on_Quantock_(2175262184).jpg,"IDS.photos from Tiverton, UK (https://commons.wikimedia.org/wiki/File:Labrador_on_Quantock_(2175262184).jpg), „Labrador on Quantock (2175262184)“, background removed by RvH, https://creativecommons.org/licenses/by-sa/2.0/legalcode"
17,65,spaniel,1,https://commons.wikimedia.org/wiki/File:Welsh_Springer_Spaniel_1.jpg,in public domain
17,66,spaniel,2,https://en.wikipedia.org/wiki/File:Home_cocker_spaniel.jpg,"anonymous (https://en.wikipedia.org/wiki/File:Home_cocker_spaniel.jpg), „Home cocker spaniel“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
17,67,spaniel,3,https://commons.wikimedia.org/wiki/File:Tihany_English_Cocker_Spaniel_Georg_1.jpg,in public domain
17,68,spaniel,4,https://commons.wikimedia.org/wiki/File:Welsh_Springer_Spaniel.jpg,"Lokal_Profil (https://commons.wikimedia.org/wiki/File:Welsh_Springer_Spaniel.jpg), „Welsh Springer Spaniel“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
18,69,bulldog,1,https://commons.wikimedia.org/wiki/File:CH_Buck_and_Sons_Evita_Peron.jpg,"Buckandsons (https://commons.wikimedia.org/wiki/File:CH_Buck_and_Sons_Evita_Peron.jpg), „CH Buck and Sons Evita Peron“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
18,70,bulldog,2,https://www.pexels.com/photo/baby-dog-english-bulldog-studio-light-white-background-2276586/,"Filip Wouters, in public domain"
18,71,bulldog,3,https://www.pexels.com/photo/standing-english-bulldog-2080847/,in public domain
18,72,bulldog,4,https://commons.wikimedia.org/wiki/File:Bulldog_inglese.jpg,"Ultimoribelle (https://commons.wikimedia.org/wiki/File:Bulldog_inglese.jpg), background removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
19,73,dalmatian,1,https://commons.wikimedia.org/wiki/File:Dalmatian_in_Tallinn.JPG,"Томасина (https://commons.wikimedia.org/wiki/File:Dalmatian_in_Tallinn.JPG), „Dalmatian in Tallinn“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
19,74,dalmatian,2,"https://commons.wikimedia.org/wiki/File:Dalmatian_at_Easton_Lodge_Gardens_open_day,_Little_Easton,_Essex,_England_02.jpg","Acabashi (https://commons.wikimedia.org/wiki/File:Dalmatian_at_Easton_Lodge_Gardens_open_day,_Little_Easton,_Essex,_England_02.jpg), background removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
19,75,dalmatian,3,https://pxhere.com/en/photo/906513,in public domain
19,76,dalmatian,4,https://commons.wikimedia.org/wiki/File:2_yr_old_Dalmatian.jpg,in public domain
20,77,poodle,1,https://commons.wikimedia.org/wiki/File:Full_attention_(8067543690).jpg,"Tim Wilson from Blaine, MN, USA (https://commons.wikimedia.org/wiki/File:Full_attention_(8067543690).jpg), „Full attention (8067543690)“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
20,78,poodle,2,https://commons.wikimedia.org/wiki/File:Standard_poodle_apricot.jpg,"John Leslie from London, UK (https://commons.wikimedia.org/wiki/File:Standard_poodle_apricot.jpg), „Standard poodle apricot“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
20,79,poodle,3,https://pxhere.com/en/photo/856332,in public domain
20,80,poodle,4,https://www.flickr.com/photos/akfoto/8729478594,"Dorian Wallender (https://www.flickr.com/photos/akfoto/8729478594), „Poodle“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
21,81,tulip,1,https://www.pxfuel.com/en/free-photo-jylfl,in public domain
21,82,tulip,2,https://www.pxfuel.com/en/free-photo-xngtp,in public domain
21,83,tulip,3,https://www.pxfuel.com/en/free-photo-ikoog,in public domain
21,84,tulip,4,https://pxhere.com/nl/photo/1188585,in public domain
22,85,daffodil,1,https://www.pxfuel.com/en/free-photo-jrxus,in public domain
22,86,daffodil,2,https://www.pxfuel.com/en/free-photo-errox,in public domain
22,87,daffodil,3,https://www.pxfuel.com/en/free-photo-errox,in public domain
22,88,daffodil,4,https://www.pxfuel.com/en/free-photo-ogyfg,in public domain
23,89,sunflower,1,https://www.pxfuel.com/en/free-photo-jmzui,in public domain
23,90,sunflower,2,https://www.pxfuel.com/en/free-photo-jmzgi,in public domain
23,91,sunflower,3,https://www.pxfuel.com/en/free-photo-ogrla,in public domain
23,92,sunflower,4,https://www.pxfuel.com/en/free-photo-jyvuz,in public domain
24,93,rose,1,https://www.pxfuel.com/en/free-photo-jmklh,in public domain
24,94,rose,2,https://www.pxfuel.com/en/free-photo-eryza,in public domain
24,95,rose,3,https://www.pxfuel.com/en/free-photo-eljjk,in public domain
24,96,rose,4,https://www.pxfuel.com/en/free-photo-ezpif,in public domain
25,97,poppy,1,https://commons.wikimedia.org/wiki/File:Poppies_again_5_(5781808652).jpg,"Tony Hisgett (https://commons.wikimedia.org/wiki/File:Poppies_again_5_(5781808652).jpg), „Poppies again 5 (5781808652)“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
25,98,poppy,2,https://www.pxfuel.com/en/free-photo-jjuis,in public domain
25,99,poppy,3,https://www.pxfuel.com/en/free-photo-orags,in public domain
25,100,poppy,4,https://commons.wikimedia.org/wiki/File:Poppies_again_5_(5781808652).jpg,"Tony Hisgett (https://commons.wikimedia.org/wiki/File:Poppies_again_5_(5781808652).jpg), „Poppies again 5 (5781808652)“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
26,101,orchid,1,https://www.pxfuel.com/en/free-photo-ourhf,in public domain
26,102,orchid,2,https://www.pxfuel.com/en/free-photo-ernfq,in public domain
26,103,orchid,3,https://www.pxfuel.com/en/free-photo-oyjqi,in public domain
26,104,orchid,4,https://www.pxfuel.com/en/free-photo-eyxoy,in public domain
27,105,lily,1,https://www.pxfuel.com/en/free-photo-ojivi,in public domain
27,106,lily,2,https://www.pxfuel.com/en/free-photo-oxezl,in public domain
27,107,lily,3,https://www.pxfuel.com/en/free-photo-evwgk,in public domain
27,108,lily,4,https://www.pxfuel.com/en/free-photo-jzvve,in public domain
28,109,lotus,1,https://www.pxfuel.com/en/free-photo-jrvxj,in public domain
28,110,lotus,2,https://www.pxfuel.com/en/free-photo-jyors,in public domain
28,111,lotus,3,https://www.pxfuel.com/en/free-photo-erond,in public domain
28,112,lotus,4,https://www.pxfuel.com/en/free-photo-oerjj,in public domain
29,113,dandelion,1,https://www.pxfuel.com/en/free-photo-qecta,in public domain
29,114,dandelion,2,https://www.pxfuel.com/en/free-photo-oxyfq,in public domain
29,115,dandelion,3,https://www.pxfuel.com/en/free-photo-oilvw,in public domain
29,116,dandelion,4,https://www.pxfuel.com/en/free-photo-opzae,in public domain
30,117,buttercup,1,https://www.pxfuel.com/en/free-photo-onnqs,in public domain
30,118,buttercup,2,https://www.pxfuel.com/en/free-photo-epsmc,in public domain
